Date,Prédiction,IC_Inférieur,IC_Supérieur,Intervalle
2024-01-31,232.47730426588998,215.8225514809106,249.13205705086938,33.30950556995879
2024-02-29,232.66482781393552,207.15818976899192,258.1714658588791,51.0132760898872
2024-03-31,232.73850216295065,200.09913740793849,265.3778669179628,65.27872951002433
2024-04-30,232.76744737948147,194.07656879184907,271.45832596711386,77.3817571752648
2024-05-31,232.77881939119538,188.78588034553246,276.7717584368583,87.98587809132584
2024-06-30,232.78328723306777,184.03459443755645,281.5319800285791,97.49738559102263
2024-07-31,232.7850425611046,179.69512476152732,285.8749603606819,106.17983559915456
2024-08-31,232.785732195296,175.68007785440687,289.8913865361851,114.21130868177823
2024-09-30,232.78600313913552,171.9276915662975,293.6443147119735,121.71662314567598
2024-10-31,232.786109587692,168.39297291874834,297.1792462566357,128.78627333788734
2024-11-30,232.7861514092562,165.04219954665706,300.53010327185535,135.4879037251983
2024-12-31,232.78616784013408,161.84943687100204,303.7228988092661,141.87346193826406
